Scientific Name,Common Name,Family,Growth Habit,Duration,Bloom Time,Bloom Color,Water Use,Light Requirement,Drought Tolerance,Larval Host Count,Photo Count,LBJ URL,Source Rows
Teucrium canadense,"American Germander, Canada Germander, Canadian Germander, Germander, Hairy Germander, Wood Sage",Lamiaceae,Herb,Perennial,"May , Jun , Jul , Aug","White , Pink",High,Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=TECA3,161
Teucrium cubense,Small Coastal Germander,Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct",White,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=TECU,162
Thelesperma simplicifolium,"Navajo Tea, Slender greenthread",Asteraceae,Herb,Perennial,"May , Jun , Jul , Aug , Sep",Yellow,Low,Sun,,0,6,https://www.wildflower.org/plants/result.php?id_plant=THSI,163
Tilia americana,"American Basswood, American Linden, Lime Tree, Bee Tree",Not listed in spreadsheet,Tree,Perennial,"Apr , May , Jun , Jul",Yellow,Medium,"Sun , Part Shade , Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=TIAM,290
Tinantia anomala,False Dayflower,Commelinaceae,Herb,Annual,"Mar , Apr , May","White , Blue , Purple","Low , Medium",Part Shade,,0,6,https://www.wildflower.org/plants/result.php?id_plant=TIAN,164
Tradescantia gigantea,"Spiderwort, Giant spiderwort",Commelinaceae,Herb,Perennial,"Mar , Apr","White , Pink , Blue , Purple , Violet",Medium,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=TRGI,165
Tradescantia humilis,Texas Spiderwort,Not listed in spreadsheet,Herb,Perennial,"Mar , Apr , May , Jun",Blue,Low,"Sun, Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=TRHU,166
Tradescantia occidentalis,"Prairie Spiderwort, Western Spiderwort, Spiderwort",Not listed in spreadsheet,Herb,Perennial,"Jun , Jul","Pink , Purple",Low,"Sun , Part Shade",,0,6,https://www.wildflower.org/plants/result.php?id_plant=TROC,167
Tridens albescens,"White Tridens, White Top",Not listed in spreadsheet,Grass,Perennial,"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct",Green,Medium,Part Shade,,1,6,https://www.wildflower.org/plants/result.php?id_plant=TRAL2,30
Tridens flavus,Purpletop Tridens,Not listed in spreadsheet,Grass,Perennial,"Aug , Sep , Oct , Nov",Purple,Low,Part Shade,,8,10,https://www.wildflower.org/plants/result.php?id_plant=TRFL2,31
Tripsacum dactyloides,"Eastern Gamagrass, Fakahatchee Grass",Poaceae,Grass,Perennial,"Apr , May , Jun",Brown,High,Part Shade,,2,7,https://www.wildflower.org/plants/result.php?id_plant=TRDA3,32
Ulmus americana,"American Elm, White Elm, Soft Elm, Water Elm, Common Elm",Ulmaceae,Tree,Perennial,"Feb , Mar , Apr","Red , Green",High,"Sun , Part Shade",,10,11,https://www.wildflower.org/plants/result.php?id_plant=ULAM,291
Ulmus crassifolia,"Cedar Elm, Fall Elm, Basket Elm, Scrub Elm, Lime Elm, Texas Elm, Southern Rock Elm, Olmo",Ulmaceae,Tree,Perennial,"Jul , Aug , Sep , Oct",Green,Medium,Part Shade,,3,8,https://www.wildflower.org/plants/result.php?id_plant=ULCR,292
Ungnadia speciosa,"Mexican Buckeye, Monilla",Sapindaceae,Tree,Perennial,"Mar , Apr , May , Jun",Pink,Low,"Sun , Part Shade",,1,6,https://www.wildflower.org/plants/result.php?id_plant=UNSP,293
